Station Name,Time Period,Avg Daily Entries,Month
Woodley Park,PM Peak (3pm-7pm),1.2K,December
Wiehle-Reston East,PM Peak (3pm-7pm),1.1K,December
Wheaton,PM Peak (3pm-7pm),0.6K,December
West Hyattsville,PM Peak (3pm-7pm),0.5K,December
West Falls Church,PM Peak (3pm-7pm),0.2K,December
Waterfront,PM Peak (3pm-7pm),1.2K,December
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K,December
Vienna,PM Peak (3pm-7pm),0.8K,December
Van Ness-UDC,PM Peak (3pm-7pm),1.2K,December
Van Dorn Street,PM Peak (3pm-7pm),0.3K,December
Union Station,PM Peak (3pm-7pm),9.1K,December
U Street,PM Peak (3pm-7pm),1.6K,December
Tysons,PM Peak (3pm-7pm),1.2K,December
Twinbrook,PM Peak (3pm-7pm),0.9K,December
Tenleytown-AU,PM Peak (3pm-7pm),1.9K,December
Takoma,PM Peak (3pm-7pm),0.7K,December
Suitland,PM Peak (3pm-7pm),0.9K,December
Stadium-Armory,PM Peak (3pm-7pm),0.4K,December
Spring Hill,PM Peak (3pm-7pm),0.3K,December
Southern Ave,PM Peak (3pm-7pm),0.5K,December
Smithsonian,PM Peak (3pm-7pm),5.2K,December
Silver Spring,PM Peak (3pm-7pm),2.5K,December
Shaw-Howard U,PM Peak (3pm-7pm),1.2K,December
Shady Grove,PM Peak (3pm-7pm),1.2K,December
Rosslyn,PM Peak (3pm-7pm),4.1K,December
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.6K,December
Rockville,PM Peak (3pm-7pm),0.8K,December
Rhode Island Ave,PM Peak (3pm-7pm),1.0K,December
Potomac Ave,PM Peak (3pm-7pm),0.5K,December
Pentagon City,PM Peak (3pm-7pm),3.3K,December
Pentagon,PM Peak (3pm-7pm),4.3K,December
North Bethesda,PM Peak (3pm-7pm),0.9K,December
NoMa-Gallaudet U,PM Peak (3pm-7pm),3.1K,December
New Carrollton,PM Peak (3pm-7pm),0.7K,December
Naylor Road,PM Peak (3pm-7pm),0.3K,December
Navy Yard-Ballpark,PM Peak (3pm-7pm),3.1K,December
Mt Vernon Sq,PM Peak (3pm-7pm),1.4K,December
Morgan Boulevard,PM Peak (3pm-7pm),0.2K,December
Minnesota Ave,PM Peak (3pm-7pm),0.4K,December
Metro Center,PM Peak (3pm-7pm),12.4K,December
Medical Center,PM Peak (3pm-7pm),2.7K,December
McPherson Sq,PM Peak (3pm-7pm),6.6K,December
McLean,PM Peak (3pm-7pm),0.4K,December
Landover,PM Peak (3pm-7pm),0.1K,December
L'Enfant Plaza,PM Peak (3pm-7pm),11.1K,December
King St-Old Town,PM Peak (3pm-7pm),2.0K,December
Judiciary Square,PM Peak (3pm-7pm),4.6K,December
Hyattsville Crossing,PM Peak (3pm-7pm),0.9K,December
Huntington,PM Peak (3pm-7pm),0.6K,December
Herndon,PM Peak (3pm-7pm),0.0K,December
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.7K,December
Greensboro,PM Peak (3pm-7pm),0.4K,December
Greenbelt,PM Peak (3pm-7pm),0.7K,December
Glenmont,PM Peak (3pm-7pm),0.5K,December
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.1K,December
Gallery Place,PM Peak (3pm-7pm),10.5K,December
Friendship Heights,PM Peak (3pm-7pm),2.4K,December
Franconia-Springfield,PM Peak (3pm-7pm),0.8K,December
Fort Totten,PM Peak (3pm-7pm),1.5K,December
Forest Glen,PM Peak (3pm-7pm),0.2K,December
Foggy Bottom-GWU,PM Peak (3pm-7pm),8.1K,December
Federal Triangle,PM Peak (3pm-7pm),4.7K,December
Federal Center SW,PM Peak (3pm-7pm),3.2K,December
Farragut West,PM Peak (3pm-7pm),10.1K,December
Farragut North,PM Peak (3pm-7pm),12.9K,December
Eisenhower Ave,PM Peak (3pm-7pm),0.2K,December
Eastern Market,PM Peak (3pm-7pm),1.3K,December
East Falls Church,PM Peak (3pm-7pm),0.5K,December
Dupont Circle,PM Peak (3pm-7pm),6.2K,December
Dunn Loring,PM Peak (3pm-7pm),0.5K,December
Downtown Largo,PM Peak (3pm-7pm),0.4K,December
Deanwood,PM Peak (3pm-7pm),0.2K,December
Crystal City,PM Peak (3pm-7pm),3.6K,December
Court House,PM Peak (3pm-7pm),1.4K,December
Congress Heights,PM Peak (3pm-7pm),0.4K,December
Columbia Heights,PM Peak (3pm-7pm),3.0K,December
College Park-U of Md,PM Peak (3pm-7pm),0.9K,December
Cleveland Park,PM Peak (3pm-7pm),0.6K,December
Clarendon,PM Peak (3pm-7pm),0.8K,December
Cheverly,PM Peak (3pm-7pm),0.1K,December
Capitol South,PM Peak (3pm-7pm),2.8K,December
Capitol Heights,PM Peak (3pm-7pm),0.2K,December
Brookland-CUA,PM Peak (3pm-7pm),1.4K,December
Branch Ave,PM Peak (3pm-7pm),0.4K,December
Braddock Road,PM Peak (3pm-7pm),0.7K,December
Bethesda,PM Peak (3pm-7pm),3.1K,December
Benning Road,PM Peak (3pm-7pm),0.4K,December
Ballston-MU,PM Peak (3pm-7pm),2.4K,December
Arlington Cemetery,PM Peak (3pm-7pm),0.3K,December
Archives,PM Peak (3pm-7pm),4.9K,December
Anacostia,PM Peak (3pm-7pm),1.3K,December
Addison Road,PM Peak (3pm-7pm),0.3K,December
Woodley Park,Midday (9:30am-3pm),1.2K,December
Wiehle-Reston East,Midday (9:30am-3pm),1.0K,December
Wheaton,Midday (9:30am-3pm),0.7K,December
West Hyattsville,Midday (9:30am-3pm),0.7K,December
West Falls Church,Midday (9:30am-3pm),0.3K,December
Waterfront,Midday (9:30am-3pm),0.9K,December
Virginia Sq-GMU,Midday (9:30am-3pm),0.6K,December
Vienna,Midday (9:30am-3pm),1.2K,December
Van Ness-UDC,Midday (9:30am-3pm),1.2K,December
Van Dorn Street,Midday (9:30am-3pm),0.4K,December
Union Station,Midday (9:30am-3pm),4.6K,December
U Street,Midday (9:30am-3pm),1.0K,December
Tysons,Midday (9:30am-3pm),0.5K,December
Twinbrook,Midday (9:30am-3pm),0.7K,December
Tenleytown-AU,Midday (9:30am-3pm),1.1K,December
Takoma,Midday (9:30am-3pm),1.0K,December
Suitland,Midday (9:30am-3pm),0.8K,December
Stadium-Armory,Midday (9:30am-3pm),0.5K,December
Spring Hill,Midday (9:30am-3pm),0.2K,December
Southern Ave,Midday (9:30am-3pm),0.9K,December
Smithsonian,Midday (9:30am-3pm),1.5K,December
Silver Spring,Midday (9:30am-3pm),2.2K,December
Shaw-Howard U,Midday (9:30am-3pm),0.8K,December
Shady Grove,Midday (9:30am-3pm),1.8K,December
Rosslyn,Midday (9:30am-3pm),2.2K,December
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.7K,December
Rockville,Midday (9:30am-3pm),0.7K,December
Rhode Island Ave,Midday (9:30am-3pm),1.2K,December
Potomac Ave,Midday (9:30am-3pm),0.7K,December
Pentagon City,Midday (9:30am-3pm),2.9K,December
Pentagon,Midday (9:30am-3pm),2.4K,December
North Bethesda,Midday (9:30am-3pm),0.6K,December
NoMa-Gallaudet U,Midday (9:30am-3pm),1.6K,December
New Carrollton,Midday (9:30am-3pm),1.1K,December
Naylor Road,Midday (9:30am-3pm),0.5K,December
Navy Yard-Ballpark,Midday (9:30am-3pm),1.2K,December
Mt Vernon Sq,Midday (9:30am-3pm),0.7K,December
Morgan Boulevard,Midday (9:30am-3pm),0.3K,December
Minnesota Ave,Midday (9:30am-3pm),0.5K,December
Metro Center,Midday (9:30am-3pm),3.7K,December
Medical Center,Midday (9:30am-3pm),0.8K,December
McPherson Sq,Midday (9:30am-3pm),1.9K,December
McLean,Midday (9:30am-3pm),0.2K,December
Landover,Midday (9:30am-3pm),0.3K,December
L'Enfant Plaza,Midday (9:30am-3pm),3.1K,December
King St-Old Town,Midday (9:30am-3pm),1.4K,December
Judiciary Square,Midday (9:30am-3pm),1.5K,December
Hyattsville Crossing,Midday (9:30am-3pm),0.9K,December
Huntington,Midday (9:30am-3pm),1.0K,December
Herndon,Midday (9:30am-3pm),0.0K,December
Grosvenor-Strathmore,Midday (9:30am-3pm),0.8K,December
Greensboro,Midday (9:30am-3pm),0.1K,December
Greenbelt,Midday (9:30am-3pm),1.0K,December
Glenmont,Midday (9:30am-3pm),0.9K,December
Georgia Ave-Petworth,Midday (9:30am-3pm),1.2K,December
Gallery Place,Midday (9:30am-3pm),3.7K,December
Friendship Heights,Midday (9:30am-3pm),1.9K,December
Franconia-Springfield,Midday (9:30am-3pm),1.2K,December
Fort Totten,Midday (9:30am-3pm),1.5K,December
Forest Glen,Midday (9:30am-3pm),0.3K,December
Foggy Bottom-GWU,Midday (9:30am-3pm),3.0K,December
Federal Triangle,Midday (9:30am-3pm),1.2K,December
Federal Center SW,Midday (9:30am-3pm),1.0K,December
Farragut West,Midday (9:30am-3pm),2.8K,December
Farragut North,Midday (9:30am-3pm),3.2K,December
Eisenhower Ave,Midday (9:30am-3pm),0.2K,December
Eastern Market,Midday (9:30am-3pm),1.1K,December
East Falls Church,Midday (9:30am-3pm),0.6K,December
Dupont Circle,Midday (9:30am-3pm),3.0K,December
Dunn Loring,Midday (9:30am-3pm),0.5K,December
Downtown Largo,Midday (9:30am-3pm),0.6K,December
Deanwood,Midday (9:30am-3pm),0.3K,December
Crystal City,Midday (9:30am-3pm),1.9K,December
Court House,Midday (9:30am-3pm),1.0K,December
Congress Heights,Midday (9:30am-3pm),0.6K,December
Columbia Heights,Midday (9:30am-3pm),2.4K,December
College Park-U of Md,Midday (9:30am-3pm),0.7K,December
Cleveland Park,Midday (9:30am-3pm),0.8K,December
Clarendon,Midday (9:30am-3pm),0.7K,December
Cheverly,Midday (9:30am-3pm),0.2K,December
Capitol South,Midday (9:30am-3pm),1.1K,December
Capitol Heights,Midday (9:30am-3pm),0.4K,December
Brookland-CUA,Midday (9:30am-3pm),1.1K,December
Branch Ave,Midday (9:30am-3pm),0.7K,December
Braddock Road,Midday (9:30am-3pm),0.7K,December
Bethesda,Midday (9:30am-3pm),1.7K,December
Benning Road,Midday (9:30am-3pm),0.6K,December
Ballston-MU,Midday (9:30am-3pm),1.5K,December
Arlington Cemetery,Midday (9:30am-3pm),0.4K,December
Archives,Midday (9:30am-3pm),1.3K,December
Anacostia,Midday (9:30am-3pm),1.5K,December
Addison Road,Midday (9:30am-3pm),0.6K,December
Woodley Park,Late Night (12am-Close),0.0K,December
Wiehle-Reston East,Late Night (12am-Close),0.0K,December
Wheaton,Late Night (12am-Close),0.0K,December
West Hyattsville,Late Night (12am-Close),0.0K,December
West Falls Church,Late Night (12am-Close),0.0K,December
Waterfront,Late Night (12am-Close),0.0K,December
Virginia Sq-GMU,Late Night (12am-Close),0.0K,December
Vienna,Late Night (12am-Close),0.0K,December
Van Ness-UDC,Late Night (12am-Close),0.0K,December
Van Dorn Street,Late Night (12am-Close),0.0K,December
Union Station,Late Night (12am-Close),0.0K,December
U Street,Late Night (12am-Close),0.0K,December
Tysons,Late Night (12am-Close),0.0K,December
Twinbrook,Late Night (12am-Close),0.0K,December
Tenleytown-AU,Late Night (12am-Close),0.0K,December
Takoma,Late Night (12am-Close),0.0K,December
Suitland,Late Night (12am-Close),0.0K,December
Stadium-Armory,Late Night (12am-Close),0.0K,December
Spring Hill,Late Night (12am-Close),0.0K,December
Southern Ave,Late Night (12am-Close),0.0K,December
Smithsonian,Late Night (12am-Close),0.0K,December
Silver Spring,Late Night (12am-Close),0.0K,December
Shaw-Howard U,Late Night (12am-Close),0.0K,December
Shady Grove,Late Night (12am-Close),0.0K,December
Rosslyn,Late Night (12am-Close),0.0K,December
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K,December
Rockville,Late Night (12am-Close),0.0K,December
Rhode Island Ave,Late Night (12am-Close),0.0K,December
Potomac Ave,Late Night (12am-Close),0.0K,December
Pentagon City,Late Night (12am-Close),0.0K,December
Pentagon,Late Night (12am-Close),0.0K,December
North Bethesda,Late Night (12am-Close),0.0K,December
NoMa-Gallaudet U,Late Night (12am-Close),0.0K,December
New Carrollton,Late Night (12am-Close),0.0K,December
Naylor Road,Late Night (12am-Close),0.0K,December
Navy Yard-Ballpark,Late Night (12am-Close),0.0K,December
Mt Vernon Sq,Late Night (12am-Close),0.0K,December
Morgan Boulevard,Late Night (12am-Close),0.0K,December
Minnesota Ave,Late Night (12am-Close),0.0K,December
Metro Center,Late Night (12am-Close),0.0K,December
Medical Center,Late Night (12am-Close),0.0K,December
McPherson Sq,Late Night (12am-Close),0.0K,December
McLean,Late Night (12am-Close),0.0K,December
Landover,Late Night (12am-Close),0.0K,December
L'Enfant Plaza,Late Night (12am-Close),0.0K,December
King St-Old Town,Late Night (12am-Close),0.0K,December
Judiciary Square,Late Night (12am-Close),0.0K,December
Hyattsville Crossing,Late Night (12am-Close),0.0K,December
Huntington,Late Night (12am-Close),0.0K,December
Grosvenor-Strathmore,Late Night (12am-Close),0.0K,December
Greensboro,Late Night (12am-Close),0.0K,December
Greenbelt,Late Night (12am-Close),0.0K,December
Glenmont,Late Night (12am-Close),0.0K,December
Georgia Ave-Petworth,Late Night (12am-Close),0.0K,December
Gallery Place,Late Night (12am-Close),0.0K,December
Friendship Heights,Late Night (12am-Close),0.0K,December
Franconia-Springfield,Late Night (12am-Close),0.0K,December
Fort Totten,Late Night (12am-Close),0.0K,December
Forest Glen,Late Night (12am-Close),0.0K,December
Foggy Bottom-GWU,Late Night (12am-Close),0.0K,December
Federal Triangle,Late Night (12am-Close),0.0K,December
Federal Center SW,Late Night (12am-Close),0.0K,December
Farragut West,Late Night (12am-Close),0.0K,December
Farragut North,Late Night (12am-Close),0.0K,December
Eisenhower Ave,Late Night (12am-Close),0.0K,December
Eastern Market,Late Night (12am-Close),0.0K,December
East Falls Church,Late Night (12am-Close),0.0K,December
Dupont Circle,Late Night (12am-Close),0.0K,December
Dunn Loring,Late Night (12am-Close),0.0K,December
Downtown Largo,Late Night (12am-Close),0.0K,December
Deanwood,Late Night (12am-Close),0.0K,December
Crystal City,Late Night (12am-Close),0.0K,December
Court House,Late Night (12am-Close),0.0K,December
Congress Heights,Late Night (12am-Close),0.0K,December
Columbia Heights,Late Night (12am-Close),0.0K,December
College Park-U of Md,Late Night (12am-Close),0.0K,December
Cleveland Park,Late Night (12am-Close),0.0K,December
Clarendon,Late Night (12am-Close),0.0K,December
Cheverly,Late Night (12am-Close),0.0K,December
Capitol South,Late Night (12am-Close),0.0K,December
Capitol Heights,Late Night (12am-Close),0.0K,December
Brookland-CUA,Late Night (12am-Close),0.0K,December
Branch Ave,Late Night (12am-Close),0.0K,December
Braddock Road,Late Night (12am-Close),0.0K,December
Bethesda,Late Night (12am-Close),0.0K,December
Benning Road,Late Night (12am-Close),0.0K,December
Ballston-MU,Late Night (12am-Close),0.0K,December
Archives,Late Night (12am-Close),0.0K,December
Anacostia,Late Night (12am-Close),0.0K,December
Addison Road,Late Night (12am-Close),0.0K,December
Woodley Park,Evening (7pm-12am),1.0K,December
Wiehle-Reston East,Evening (7pm-12am),0.2K,December
Wheaton,Evening (7pm-12am),0.3K,December
West Hyattsville,Evening (7pm-12am),0.1K,December
West Falls Church,Evening (7pm-12am),0.1K,December
Waterfront,Evening (7pm-12am),0.3K,December
Virginia Sq-GMU,Evening (7pm-12am),0.2K,December
Vienna,Evening (7pm-12am),0.2K,December
Van Ness-UDC,Evening (7pm-12am),0.4K,December
Van Dorn Street,Evening (7pm-12am),0.1K,December
Union Station,Evening (7pm-12am),2.4K,December
U Street,Evening (7pm-12am),1.1K,December
Tysons,Evening (7pm-12am),0.7K,December
Twinbrook,Evening (7pm-12am),0.2K,December
Tenleytown-AU,Evening (7pm-12am),0.6K,December
Takoma,Evening (7pm-12am),0.2K,December
Suitland,Evening (7pm-12am),0.2K,December
Stadium-Armory,Evening (7pm-12am),0.1K,December
Spring Hill,Evening (7pm-12am),0.1K,December
Southern Ave,Evening (7pm-12am),0.2K,December
Smithsonian,Evening (7pm-12am),0.4K,December
Silver Spring,Evening (7pm-12am),0.8K,December
Shaw-Howard U,Evening (7pm-12am),0.6K,December
Shady Grove,Evening (7pm-12am),0.3K,December
Rosslyn,Evening (7pm-12am),0.8K,December
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.2K,December
Rockville,Evening (7pm-12am),0.2K,December
Rhode Island Ave,Evening (7pm-12am),0.3K,December
Potomac Ave,Evening (7pm-12am),0.2K,December
Pentagon City,Evening (7pm-12am),1.5K,December
Pentagon,Evening (7pm-12am),0.3K,December
North Bethesda,Evening (7pm-12am),0.2K,December
NoMa-Gallaudet U,Evening (7pm-12am),0.5K,December
New Carrollton,Evening (7pm-12am),0.2K,December
Naylor Road,Evening (7pm-12am),0.1K,December
Navy Yard-Ballpark,Evening (7pm-12am),0.5K,December
Mt Vernon Sq,Evening (7pm-12am),0.5K,December
Morgan Boulevard,Evening (7pm-12am),0.1K,December
Minnesota Ave,Evening (7pm-12am),0.1K,December
Metro Center,Evening (7pm-12am),4.2K,December
Medical Center,Evening (7pm-12am),0.5K,December
McPherson Sq,Evening (7pm-12am),1.4K,December
McLean,Evening (7pm-12am),0.1K,December
Landover,Evening (7pm-12am),0.1K,December
L'Enfant Plaza,Evening (7pm-12am),1.0K,December
King St-Old Town,Evening (7pm-12am),0.7K,December
Judiciary Square,Evening (7pm-12am),0.5K,December
Hyattsville Crossing,Evening (7pm-12am),0.3K,December
Huntington,Evening (7pm-12am),0.2K,December
Herndon,Evening (7pm-12am),0.0K,December
Grosvenor-Strathmore,Evening (7pm-12am),0.1K,December
Greensboro,Evening (7pm-12am),0.1K,December
Greenbelt,Evening (7pm-12am),0.2K,December
Glenmont,Evening (7pm-12am),0.1K,December
Georgia Ave-Petworth,Evening (7pm-12am),0.4K,December
Gallery Place,Evening (7pm-12am),6.8K,December
Friendship Heights,Evening (7pm-12am),0.8K,December
Franconia-Springfield,Evening (7pm-12am),0.2K,December
Fort Totten,Evening (7pm-12am),0.4K,December
Forest Glen,Evening (7pm-12am),0.1K,December
Foggy Bottom-GWU,Evening (7pm-12am),2.7K,December
Federal Triangle,Evening (7pm-12am),0.7K,December
Federal Center SW,Evening (7pm-12am),0.3K,December
Farragut West,Evening (7pm-12am),2.4K,December
Farragut North,Evening (7pm-12am),2.9K,December
Eisenhower Ave,Evening (7pm-12am),0.1K,December
Eastern Market,Evening (7pm-12am),0.5K,December
East Falls Church,Evening (7pm-12am),0.1K,December
Dupont Circle,Evening (7pm-12am),2.6K,December
Dunn Loring,Evening (7pm-12am),0.1K,December
Downtown Largo,Evening (7pm-12am),0.2K,December
Deanwood,Evening (7pm-12am),0.1K,December
Crystal City,Evening (7pm-12am),0.7K,December
Court House,Evening (7pm-12am),0.3K,December
Congress Heights,Evening (7pm-12am),0.1K,December
Columbia Heights,Evening (7pm-12am),1.2K,December
College Park-U of Md,Evening (7pm-12am),0.2K,December
Cleveland Park,Evening (7pm-12am),0.4K,December
Clarendon,Evening (7pm-12am),0.4K,December
Cheverly,Evening (7pm-12am),0.0K,December
Capitol South,Evening (7pm-12am),0.5K,December
Capitol Heights,Evening (7pm-12am),0.1K,December
Brookland-CUA,Evening (7pm-12am),0.3K,December
Branch Ave,Evening (7pm-12am),0.1K,December
Braddock Road,Evening (7pm-12am),0.2K,December
Bethesda,Evening (7pm-12am),1.0K,December
Benning Road,Evening (7pm-12am),0.1K,December
Ballston-MU,Evening (7pm-12am),0.5K,December
Arlington Cemetery,Evening (7pm-12am),0.0K,December
Archives,Evening (7pm-12am),1.0K,December
Anacostia,Evening (7pm-12am),0.3K,December
Addison Road,Evening (7pm-12am),0.1K,December
Woodley Park,AM Peak (Open-9:30am),1.9K,December
Wiehle-Reston East,AM Peak (Open-9:30am),3.3K,December
Wheaton,AM Peak (Open-9:30am),1.7K,December
West Hyattsville,AM Peak (Open-9:30am),1.9K,December
West Falls Church,AM Peak (Open-9:30am),1.1K,December
Waterfront,AM Peak (Open-9:30am),1.0K,December
Virginia Sq-GMU,AM Peak (Open-9:30am),1.4K,December
Vienna,AM Peak (Open-9:30am),4.3K,December
Van Ness-UDC,AM Peak (Open-9:30am),2.0K,December
Van Dorn Street,AM Peak (Open-9:30am),1.7K,December
Union Station,AM Peak (Open-9:30am),8.3K,December
U Street,AM Peak (Open-9:30am),1.6K,December
Tysons,AM Peak (Open-9:30am),0.4K,December
Twinbrook,AM Peak (Open-9:30am),1.9K,December
Tenleytown-AU,AM Peak (Open-9:30am),1.2K,December
Takoma,AM Peak (Open-9:30am),2.5K,December
Suitland,AM Peak (Open-9:30am),2.5K,December
Stadium-Armory,AM Peak (Open-9:30am),0.9K,December
Spring Hill,AM Peak (Open-9:30am),0.3K,December
Southern Ave,AM Peak (Open-9:30am),2.6K,December
Smithsonian,AM Peak (Open-9:30am),0.2K,December
Silver Spring,AM Peak (Open-9:30am),4.9K,December
Shaw-Howard U,AM Peak (Open-9:30am),1.2K,December
Shady Grove,AM Peak (Open-9:30am),6.9K,December
Rosslyn,AM Peak (Open-9:30am),3.0K,December
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K,December
Rockville,AM Peak (Open-9:30am),1.7K,December
Rhode Island Ave,AM Peak (Open-9:30am),2.0K,December
Potomac Ave,AM Peak (Open-9:30am),1.5K,December
Pentagon City,AM Peak (Open-9:30am),4.4K,December
Pentagon,AM Peak (Open-9:30am),4.8K,December
North Bethesda,AM Peak (Open-9:30am),1.3K,December
NoMa-Gallaudet U,AM Peak (Open-9:30am),2.0K,December
New Carrollton,AM Peak (Open-9:30am),3.7K,December
Naylor Road,AM Peak (Open-9:30am),1.3K,December
Navy Yard-Ballpark,AM Peak (Open-9:30am),1.0K,December
Mt Vernon Sq,AM Peak (Open-9:30am),1.0K,December
Morgan Boulevard,AM Peak (Open-9:30am),1.1K,December
Minnesota Ave,AM Peak (Open-9:30am),0.7K,December
Metro Center,AM Peak (Open-9:30am),1.3K,December
Medical Center,AM Peak (Open-9:30am),0.7K,December
McPherson Sq,AM Peak (Open-9:30am),1.2K,December
McLean,AM Peak (Open-9:30am),0.6K,December
Landover,AM Peak (Open-9:30am),0.8K,December
L'Enfant Plaza,AM Peak (Open-9:30am),2.3K,December
King St-Old Town,AM Peak (Open-9:30am),2.2K,December
Judiciary Square,AM Peak (Open-9:30am),0.3K,December
Hyattsville Crossing,AM Peak (Open-9:30am),1.9K,December
Huntington,AM Peak (Open-9:30am),4.3K,December
Grosvenor-Strathmore,AM Peak (Open-9:30am),3.0K,December
Greensboro,AM Peak (Open-9:30am),0.2K,December
Greenbelt,AM Peak (Open-9:30am),3.3K,December
Glenmont,AM Peak (Open-9:30am),3.5K,December
Georgia Ave-Petworth,AM Peak (Open-9:30am),2.4K,December
Gallery Place,AM Peak (Open-9:30am),1.3K,December
Friendship Heights,AM Peak (Open-9:30am),2.3K,December
Franconia-Springfield,AM Peak (Open-9:30am),3.5K,December
Fort Totten,AM Peak (Open-9:30am),3.4K,December
Forest Glen,AM Peak (Open-9:30am),1.3K,December
Foggy Bottom-GWU,AM Peak (Open-9:30am),1.5K,December
Federal Triangle,AM Peak (Open-9:30am),0.1K,December
Federal Center SW,AM Peak (Open-9:30am),0.3K,December
Farragut West,AM Peak (Open-9:30am),1.1K,December
Farragut North,AM Peak (Open-9:30am),0.9K,December
Eisenhower Ave,AM Peak (Open-9:30am),0.6K,December
Eastern Market,AM Peak (Open-9:30am),1.6K,December
East Falls Church,AM Peak (Open-9:30am),2.1K,December
Dupont Circle,AM Peak (Open-9:30am),2.6K,December
Dunn Loring,AM Peak (Open-9:30am),1.4K,December
Downtown Largo,AM Peak (Open-9:30am),2.7K,December
Deanwood,AM Peak (Open-9:30am),0.5K,December
Crystal City,AM Peak (Open-9:30am),2.8K,December
Court House,AM Peak (Open-9:30am),2.4K,December
Congress Heights,AM Peak (Open-9:30am),1.0K,December
Columbia Heights,AM Peak (Open-9:30am),3.5K,December
College Park-U of Md,AM Peak (Open-9:30am),1.5K,December
