Date,Station Name ,Time Period,Avg Daily Entries
September 4,Arlington Cemetery,Midday (9:30am-3pm),0.3K
September 4,Greensboro,AM Peak (Open-9:30am),0.3K
September 4,Dulles Airport,AM Peak (Open-9:30am),0.3K
September 4,Archives,AM Peak (Open-9:30am),0.3K
June 5,Woodley Park,Evening (7pm-12am),0.3K
June 5,Van Dorn Street,PM Peak (3pm-7pm),0.3K
June 5,Spring Hill,AM Peak (Open-9:30am),0.3K
June 5,Potomac Yard,Midday (9:30am-3pm),0.3K
June 5,Pentagon,Evening (7pm-12am),0.3K
June 5,McLean,Evening (7pm-12am),0.3K
June 5,Innovation Center,PM Peak (3pm-7pm),0.3K
June 5,Hyattsville Crossing,Evening (7pm-12am),0.3K
June 5,Greensboro,AM Peak (Open-9:30am),0.3K
June 5,Federal Center SW,AM Peak (Open-9:30am),0.3K
June 5,Eisenhower Ave,Midday (9:30am-3pm),0.3K
June 5,Deanwood,Midday (9:30am-3pm),0.3K
June 5,Cleveland Park,Evening (7pm-12am),0.3K
June 5,Brookland-CUA,Evening (7pm-12am),0.3K
June 5,Branch Ave,PM Peak (3pm-7pm),0.3K
June 5,Benning Road,PM Peak (3pm-7pm),0.3K
June 5,Ashburn,Midday (9:30am-3pm),0.3K
June 5,Arlington Cemetery,PM Peak (3pm-7pm),0.3K
June 5,Anacostia,Evening (7pm-12am),0.3K
March 6,Woodley Park,Evening (7pm-12am),0.3K
March 6,Wiehle-Reston East,Midday (9:30am-3pm),0.3K
March 6,West Falls Church,Midday (9:30am-3pm),0.3K
March 6,Van Ness-UDC,Evening (7pm-12am),0.3K
March 6,Van Dorn Street,Midday (9:30am-3pm),0.3K
March 6,Tysons,Midday (9:30am-3pm),0.3K
March 6,Tysons,AM Peak (Open-9:30am),0.3K
March 6,Smithsonian,Evening (7pm-12am),0.3K
March 6,Reston Town Center,PM Peak (3pm-7pm),0.3K
March 6,Potomac Yard,Midday (9:30am-3pm),0.3K
March 6,Pentagon,Evening (7pm-12am),0.3K
March 6,Medical Center,Evening (7pm-12am),0.3K
March 6,McLean,Midday (9:30am-3pm),0.3K
March 6,Hyattsville Crossing,Evening (7pm-12am),0.3K
March 6,Greensboro,AM Peak (Open-9:30am),0.3K
March 6,Georgia Ave-Petworth,Evening (7pm-12am),0.3K
March 6,Fort Totten,Evening (7pm-12am),0.3K
March 6,Forest Glen,Midday (9:30am-3pm),0.3K
March 6,Federal Center SW,AM Peak (Open-9:30am),0.3K
March 6,Eisenhower Ave,Midday (9:30am-3pm),0.3K
March 6,Dulles Airport,Midday (9:30am-3pm),0.3K
March 6,Downtown Largo,PM Peak (3pm-7pm),0.3K
March 6,Deanwood,PM Peak (3pm-7pm),0.3K
March 6,Cleveland Park,Evening (7pm-12am),0.3K
March 6,Ashburn,Midday (9:30am-3pm),0.3K
March 6,Addison Road,Midday (9:30am-3pm),0.3K
December 04,Wheaton,Evening (7pm-12am),0.2K
December 04,West Falls Church,PM Peak (3pm-7pm),0.2K
December 04,Virginia Sq-GMU,Evening (7pm-12am),0.2K
December 04,Vienna,Evening (7pm-12am),0.2K
December 04,Van Dorn Street,PM Peak (3pm-7pm),0.2K
December 04,Takoma,Evening (7pm-12am),0.2K
December 04,Spring Hill,PM Peak (3pm-7pm),0.2K
December 04,Spring Hill,Midday (9:30am-3pm),0.2K
December 04,Spring Hill,AM Peak (Open-9:30am),0.2K
December 04,Smithsonian,AM Peak (Open-9:30am),0.2K
December 04,Shady Grove,Evening (7pm-12am),0.2K
December 04,Rockville,Evening (7pm-12am),0.2K
December 04,Reston Town Center,Midday (9:30am-3pm),0.2K
December 04,Potomac Ave,Evening (7pm-12am),0.2K
December 04,Pentagon,Evening (7pm-12am),0.2K
December 04,North Bethesda,Evening (7pm-12am),0.2K
December 04,New Carrollton,Evening (7pm-12am),0.2K
December 04,Naylor Road,PM Peak (3pm-7pm),0.2K
December 04,Morgan Boulevard,Midday (9:30am-3pm),0.2K
December 04,McLean,Evening (7pm-12am),0.2K
December 04,Loudoun Gateway,AM Peak (Open-9:30am),0.2K
December 04,Innovation Center,PM Peak (3pm-7pm),0.2K
December 04,Innovation Center,Midday (9:30am-3pm),0.2K
December 04,Hyattsville Crossing,Evening (7pm-12am),0.2K
December 04,Herndon,Midday (9:30am-3pm),0.2K
December 04,Grosvenor-Strathmore,Evening (7pm-12am),0.2K
December 04,Greensboro,Midday (9:30am-3pm),0.2K
December 04,Greenbelt,Evening (7pm-12am),0.2K
December 04,Forest Glen,PM Peak (3pm-7pm),0.2K
December 04,Federal Center SW,Evening (7pm-12am),0.2K
December 04,Federal Center SW,AM Peak (Open-9:30am),0.2K
December 04,College Park-U of Md,Evening (7pm-12am),0.2K
December 04,Cheverly,Midday (9:30am-3pm),0.2K
December 04,Branch Ave,PM Peak (3pm-7pm),0.2K
December 04,Ashburn,PM Peak (3pm-7pm),0.2K
December 04,Ashburn,Midday (9:30am-3pm),0.2K
December 04,Archives,AM Peak (Open-9:30am),0.2K
December 04,Addison Road,PM Peak (3pm-7pm),0.2K
September 4,Wheaton,Evening (7pm-12am),0.2K
September 4,Virginia Sq-GMU,Evening (7pm-12am),0.2K
September 4,Vienna,Evening (7pm-12am),0.2K
September 4,Twinbrook,Evening (7pm-12am),0.2K
September 4,Stadium-Armory,Evening (7pm-12am),0.2K
September 4,Southern Ave,Evening (7pm-12am),0.2K
September 4,Shady Grove,Evening (7pm-12am),0.2K
September 4,Rockville,Evening (7pm-12am),0.2K
September 4,Potomac Ave,Evening (7pm-12am),0.2K
September 4,North Bethesda,Evening (7pm-12am),0.2K
September 4,New Carrollton,Evening (7pm-12am),0.2K
September 4,Minnesota Ave,Evening (7pm-12am),0.2K
September 4,McLean,Evening (7pm-12am),0.2K
September 4,Greenbelt,Evening (7pm-12am),0.2K
September 4,Franconia-Springfield,Evening (7pm-12am),0.2K
September 4,Federal Center SW,Evening (7pm-12am),0.2K
September 4,East Falls Church,Evening (7pm-12am),0.2K
September 4,College Park-U of Md,Evening (7pm-12am),0.2K
September 4,West Falls Church,PM Peak (3pm-7pm),0.2K
September 4,Van Dorn Street,PM Peak (3pm-7pm),0.2K
September 4,Naylor Road,PM Peak (3pm-7pm),0.2K
September 4,Morgan Boulevard,PM Peak (3pm-7pm),0.2K
September 4,Herndon,PM Peak (3pm-7pm),0.2K
September 4,Forest Glen,PM Peak (3pm-7pm),0.2K
September 4,Deanwood,PM Peak (3pm-7pm),0.2K
September 4,Capitol Heights,PM Peak (3pm-7pm),0.2K
September 4,Ashburn,PM Peak (3pm-7pm),0.2K
September 4,Addison Road,PM Peak (3pm-7pm),0.2K
September 4,Spring Hill,Midday (9:30am-3pm),0.2K
September 4,Reston Town Center,Midday (9:30am-3pm),0.2K
September 4,Morgan Boulevard,Midday (9:30am-3pm),0.2K
September 4,Landover,Midday (9:30am-3pm),0.2K
September 4,Innovation Center,Midday (9:30am-3pm),0.2K
September 4,Herndon,Midday (9:30am-3pm),0.2K
September 4,Greensboro,Midday (9:30am-3pm),0.2K
September 4,Forest Glen,Midday (9:30am-3pm),0.2K
September 4,Cheverly,Midday (9:30am-3pm),0.2K
September 4,Spring Hill,AM Peak (Open-9:30am),0.2K
September 4,Smithsonian,AM Peak (Open-9:30am),0.2K
September 4,Loudoun Gateway,AM Peak (Open-9:30am),0.2K
September 4,Federal Center SW,AM Peak (Open-9:30am),0.2K
June 5,West Falls Church,PM Peak (3pm-7pm),0.2K
June 5,Virginia Sq-GMU,Evening (7pm-12am),0.2K
June 5,Vienna,Evening (7pm-12am),0.2K
June 5,Van Ness-UDC,Evening (7pm-12am),0.2K
June 5,Twinbrook,Evening (7pm-12am),0.2K
June 5,Suitland,Evening (7pm-12am),0.2K
June 5,Stadium-Armory,Evening (7pm-12am),0.2K
June 5,Spring Hill,Midday (9:30am-3pm),0.2K
June 5,Southern Ave,Evening (7pm-12am),0.2K
June 5,Smithsonian,AM Peak (Open-9:30am),0.2K
June 5,Shady Grove,Evening (7pm-12am),0.2K
June 5,Rockville,Evening (7pm-12am),0.2K
June 5,Reston Town Center,Midday (9:30am-3pm),0.2K
June 5,Potomac Ave,Evening (7pm-12am),0.2K
June 5,North Bethesda,Evening (7pm-12am),0.2K
June 5,New Carrollton,Evening (7pm-12am),0.2K
June 5,Naylor Road,PM Peak (3pm-7pm),0.2K
June 5,Morgan Boulevard,PM Peak (3pm-7pm),0.2K
June 5,Morgan Boulevard,Midday (9:30am-3pm),0.2K
June 5,Medical Center,Evening (7pm-12am),0.2K
June 5,Loudoun Gateway,AM Peak (Open-9:30am),0.2K
June 5,Landover,Midday (9:30am-3pm),0.2K
June 5,Innovation Center,Midday (9:30am-3pm),0.2K
June 5,Herndon,PM Peak (3pm-7pm),0.2K
June 5,Herndon,Midday (9:30am-3pm),0.2K
June 5,Greensboro,Evening (7pm-12am),0.2K
June 5,Greensboro,Midday (9:30am-3pm),0.2K
June 5,Greenbelt,Evening (7pm-12am),0.2K
June 5,Franconia-Springfield,Evening (7pm-12am),0.2K
June 5,Federal Center SW,Evening (7pm-12am),0.2K
June 5,Deanwood,PM Peak (3pm-7pm),0.2K
June 5,College Park-U of Md,Evening (7pm-12am),0.2K
June 5,Cheverly,Midday (9:30am-3pm),0.2K
June 5,Capitol Heights,PM Peak (3pm-7pm),0.2K
June 5,Braddock Road,Evening (7pm-12am),0.2K
June 5,Ashburn,PM Peak (3pm-7pm),0.2K
June 5,Archives,AM Peak (Open-9:30am),0.2K
June 5,Addison Road,PM Peak (3pm-7pm),0.2K
March 6,Wheaton,Evening (7pm-12am),0.2K
March 6,West Falls Church,PM Peak (3pm-7pm),0.2K
March 6,Van Dorn Street,PM Peak (3pm-7pm),0.2K
March 6,Takoma,Evening (7pm-12am),0.2K
March 6,Stadium-Armory,Evening (7pm-12am),0.2K
March 6,Spring Hill,PM Peak (3pm-7pm),0.2K
March 6,Spring Hill,Midday (9:30am-3pm),0.2K
March 6,Spring Hill,AM Peak (Open-9:30am),0.2K
March 6,Southern Ave,Evening (7pm-12am),0.2K
March 6,Smithsonian,AM Peak (Open-9:30am),0.2K
March 6,Shady Grove,Evening (7pm-12am),0.2K
March 6,Rockville,Evening (7pm-12am),0.2K
March 6,Reston Town Center,Midday (9:30am-3pm),0.2K
March 6,Potomac Ave,Evening (7pm-12am),0.2K
March 6,North Bethesda,Evening (7pm-12am),0.2K
March 6,New Carrollton,Evening (7pm-12am),0.2K
March 6,Naylor Road,PM Peak (3pm-7pm),0.2K
March 6,Morgan Boulevard,PM Peak (3pm-7pm),0.2K
March 6,Morgan Boulevard,Midday (9:30am-3pm),0.2K
March 6,Minnesota Ave,Evening (7pm-12am),0.2K
March 6,McLean,Evening (7pm-12am),0.2K
March 6,Loudoun Gateway,AM Peak (Open-9:30am),0.2K
March 6,Landover,Midday (9:30am-3pm),0.2K
March 6,Innovation Center,PM Peak (3pm-7pm),0.2K
March 6,Innovation Center,Midday (9:30am-3pm),0.2K
March 6,Herndon,PM Peak (3pm-7pm),0.2K
March 6,Herndon,Midday (9:30am-3pm),0.2K
March 6,Greensboro,Midday (9:30am-3pm),0.2K
March 6,Greenbelt,Evening (7pm-12am),0.2K
March 6,Forest Glen,PM Peak (3pm-7pm),0.2K
March 6,Federal Center SW,Evening (7pm-12am),0.2K
March 6,Dulles Airport,AM Peak (Open-9:30am),0.2K
March 6,College Park-U of Md,Evening (7pm-12am),0.2K
March 6,Capitol Heights,PM Peak (3pm-7pm),0.2K
March 6,Benning Road,Evening (7pm-12am),0.2K
March 6,Ashburn,PM Peak (3pm-7pm),0.2K
March 6,Arlington Cemetery,PM Peak (3pm-7pm),0.2K
March 6,Archives,AM Peak (Open-9:30am),0.2K
March 6,Anacostia,Evening (7pm-12am),0.2K
March 6,Addison Road,PM Peak (3pm-7pm),0.2K
December 04,Wiehle-Reston East,Evening (7pm-12am),0.1K
December 04,West Hyattsville,Evening (7pm-12am),0.1K
December 04,Van Ness-UDC,Late Night (12am-Close),0.1K
December 04,Van Dorn Street,Evening (7pm-12am),0.1K
December 04,Twinbrook,Evening (7pm-12am),0.1K
December 04,Suitland,Evening (7pm-12am),0.1K
December 04,Stadium-Armory,Evening (7pm-12am),0.1K
December 04,Spring Hill,Evening (7pm-12am),0.1K
December 04,Southern Ave,Evening (7pm-12am),0.1K
December 04,Reston Town Center,Evening (7pm-12am),0.1K
December 04,Potomac Yard,Evening (7pm-12am),0.1K
December 04,Naylor Road,Evening (7pm-12am),0.1K
December 04,Morgan Boulevard,PM Peak (3pm-7pm),0.1K
December 04,Minnesota Ave,Evening (7pm-12am),0.1K
December 04,Loudoun Gateway,PM Peak (3pm-7pm),0.1K
December 04,Loudoun Gateway,Midday (9:30am-3pm),0.1K
December 04,Landover,PM Peak (3pm-7pm),0.1K
December 04,L'Enfant Plaza,Late Night (12am-Close),0.1K
December 04,Huntington,Evening (7pm-12am),0.1K
December 04,Herndon,PM Peak (3pm-7pm),0.1K
December 04,Greensboro,Evening (7pm-12am),0.1K
December 04,Glenmont,Evening (7pm-12am),0.1K
December 04,Franconia-Springfield,Evening (7pm-12am),0.1K
December 04,Forest Glen,Evening (7pm-12am),0.1K
December 04,Federal Triangle,AM Peak (Open-9:30am),0.1K
December 04,Eisenhower Ave,Evening (7pm-12am),0.1K
December 04,East Falls Church,Evening (7pm-12am),0.1K
December 04,Dunn Loring,Evening (7pm-12am),0.1K
December 04,Downtown Largo,Evening (7pm-12am),0.1K
December 04,Deanwood,Evening (7pm-12am),0.1K
December 04,Congress Heights,Evening (7pm-12am),0.1K
December 04,Cheverly,PM Peak (3pm-7pm),0.1K
December 04,Capitol Heights,Evening (7pm-12am),0.1K
December 04,Branch Ave,Evening (7pm-12am),0.1K
December 04,Braddock Road,Evening (7pm-12am),0.1K
December 04,Benning Road,Evening (7pm-12am),0.1K
December 04,Arlington Cemetery,PM Peak (3pm-7pm),0.1K
December 04,Arlington Cemetery,Midday (9:30am-3pm),0.1K
December 04,Addison Road,Evening (7pm-12am),0.1K
September 4,Wiehle-Reston East,Evening (7pm-12am),0.1K
September 4,West Hyattsville,Evening (7pm-12am),0.1K
September 4,West Falls Church,Evening (7pm-12am),0.1K
September 4,Van Dorn Street,Evening (7pm-12am),0.1K
September 4,Suitland,Evening (7pm-12am),0.1K
September 4,Spring Hill,Evening (7pm-12am),0.1K
September 4,Reston Town Center,Evening (7pm-12am),0.1K
September 4,Potomac Yard,Evening (7pm-12am),0.1K
September 4,Naylor Road,Evening (7pm-12am),0.1K
September 4,Landover,Evening (7pm-12am),0.1K
September 4,Innovation Center,Evening (7pm-12am),0.1K
September 4,Huntington,Evening (7pm-12am),0.1K
September 4,Grosvenor-Strathmore,Evening (7pm-12am),0.1K
September 4,Greensboro,Evening (7pm-12am),0.1K
September 4,Glenmont,Evening (7pm-12am),0.1K
September 4,Forest Glen,Evening (7pm-12am),0.1K
September 4,Eisenhower Ave,Evening (7pm-12am),0.1K
September 4,Dunn Loring,Evening (7pm-12am),0.1K
September 4,Downtown Largo,Evening (7pm-12am),0.1K
September 4,Deanwood,Evening (7pm-12am),0.1K
September 4,Congress Heights,Evening (7pm-12am),0.1K
September 4,Capitol Heights,Evening (7pm-12am),0.1K
September 4,Branch Ave,Evening (7pm-12am),0.1K
September 4,Braddock Road,Evening (7pm-12am),0.1K
September 4,Benning Road,Evening (7pm-12am),0.1K
September 4,Ashburn,Evening (7pm-12am),0.1K
September 4,Addison Road,Evening (7pm-12am),0.1K
September 4,Loudoun Gateway,PM Peak (3pm-7pm),0.1K
September 4,Landover,PM Peak (3pm-7pm),0.1K
September 4,Cheverly,PM Peak (3pm-7pm),0.1K
September 4,Loudoun Gateway,Midday (9:30am-3pm),0.1K
September 4,Federal Triangle,AM Peak (Open-9:30am),0.1K
June 5,Wiehle-Reston East,Evening (7pm-12am),0.1K
June 5,West Hyattsville,Evening (7pm-12am),0.1K
June 5,West Falls Church,Evening (7pm-12am),0.1K
June 5,Van Dorn Street,Evening (7pm-12am),0.1K
June 5,Spring Hill,Evening (7pm-12am),0.1K
June 5,Reston Town Center,Evening (7pm-12am),0.1K
June 5,Potomac Yard,Evening (7pm-12am),0.1K
June 5,Naylor Road,Evening (7pm-12am),0.1K
June 5,Morgan Boulevard,Evening (7pm-12am),0.1K
June 5,Minnesota Ave,Evening (7pm-12am),0.1K
June 5,Loudoun Gateway,PM Peak (3pm-7pm),0.1K
June 5,Loudoun Gateway,Midday (9:30am-3pm),0.1K
June 5,Landover,Evening (7pm-12am),0.1K
June 5,Landover,PM Peak (3pm-7pm),0.1K
June 5,Innovation Center,Evening (7pm-12am),0.1K
June 5,Huntington,Evening (7pm-12am),0.1K
June 5,Grosvenor-Strathmore,Evening (7pm-12am),0.1K
June 5,Fort Totten,Late Night (12am-Close),0.1K
June 5,Forest Glen,Midday (9:30am-3pm),0.1K
June 5,Forest Glen,AM Peak (Open-9:30am),0.1K
June 5,Federal Triangle,AM Peak (Open-9:30am),0.1K
June 5,Eisenhower Ave,Evening (7pm-12am),0.1K
June 5,East Falls Church,Evening (7pm-12am),0.1K
June 5,Dunn Loring,Evening (7pm-12am),0.1K
June 5,Downtown Largo,Evening (7pm-12am),0.1K
June 5,Deanwood,Evening (7pm-12am),0.1K
June 5,Congress Heights,Evening (7pm-12am),0.1K
June 5,Cheverly,PM Peak (3pm-7pm),0.1K
June 5,Capitol Heights,Evening (7pm-12am),0.1K
June 5,Branch Ave,Evening (7pm-12am),0.1K
June 5,Benning Road,Evening (7pm-12am),0.1K
June 5,Ashburn,Evening (7pm-12am),0.1K
June 5,Arlington Cemetery,AM Peak (Open-9:30am),0.1K
June 5,Addison Road,Evening (7pm-12am),0.1K
March 6,Wiehle-Reston East,Evening (7pm-12am),0.1K
March 6,West Hyattsville,Evening (7pm-12am),0.1K
March 6,Virginia Sq-GMU,Evening (7pm-12am),0.1K
March 6,Vienna,Evening (7pm-12am),0.1K
March 6,Van Dorn Street,Evening (7pm-12am),0.1K
March 6,Twinbrook,Evening (7pm-12am),0.1K
March 6,Suitland,Evening (7pm-12am),0.1K
March 6,Spring Hill,Evening (7pm-12am),0.1K
March 6,Ronald Reagan Washington National Airport,Late Night (12am-Close),0.1K
March 6,Reston Town Center,Evening (7pm-12am),0.1K
March 6,Potomac Yard,Evening (7pm-12am),0.1K
March 6,Naylor Road,Evening (7pm-12am),0.1K
March 6,Loudoun Gateway,PM Peak (3pm-7pm),0.1K
March 6,Landover,Evening (7pm-12am),0.1K
March 6,Landover,PM Peak (3pm-7pm),0.1K
March 6,L'Enfant Plaza,Late Night (12am-Close),0.1K
March 6,Huntington,Evening (7pm-12am),0.1K
March 6,Grosvenor-Strathmore,Evening (7pm-12am),0.1K
March 6,Greensboro,Evening (7pm-12am),0.1K
March 6,Glenmont,Evening (7pm-12am),0.1K
March 6,Franconia-Springfield,Evening (7pm-12am),0.1K
March 6,Federal Triangle,AM Peak (Open-9:30am),0.1K
March 6,Eisenhower Ave,Evening (7pm-12am),0.1K
March 6,East Falls Church,Evening (7pm-12am),0.1K
March 6,Dunn Loring,Evening (7pm-12am),0.1K
March 6,Downtown Largo,Evening (7pm-12am),0.1K
March 6,Deanwood,Evening (7pm-12am),0.1K
March 6,Congress Heights,Evening (7pm-12am),0.1K
March 6,Cheverly,PM Peak (3pm-7pm),0.1K
March 6,Cheverly,Midday (9:30am-3pm),0.1K
March 6,Capitol Heights,Evening (7pm-12am),0.1K
March 6,Branch Ave,Evening (7pm-12am),0.1K
March 6,Braddock Road,Evening (7pm-12am),0.1K
March 6,Addison Road,Evening (7pm-12am),0.1K
December 04,Woodley Park,Late Night (12am-Close),0.0K
December 04,Wiehle-Reston East,Late Night (12am-Close),0.0K
December 04,Wheaton,Late Night (12am-Close),0.0K
December 04,West Hyattsville,Late Night (12am-Close),0.0K
December 04,West Falls Church,Late Night (12am-Close),0.0K
December 04,West Falls Church,Evening (7pm-12am),0.0K
December 04,Waterfront,Late Night (12am-Close),0.0K
December 04,Virginia Sq-GMU,Late Night (12am-Close),0.0K
December 04,Vienna,Late Night (12am-Close),0.0K
December 04,Van Dorn Street,Late Night (12am-Close),0.0K
December 04,Union Station,Late Night (12am-Close),0.0K
December 04,U Street,Late Night (12am-Close),0.0K
December 04,Tysons,Late Night (12am-Close),0.0K
December 04,Twinbrook,Late Night (12am-Close),0.0K
December 04,Tenleytown-AU,Late Night (12am-Close),0.0K
December 04,Takoma,Late Night (12am-Close),0.0K
December 04,Suitland,Late Night (12am-Close),0.0K
December 04,Stadium-Armory,Late Night (12am-Close),0.0K
December 04,Spring Hill,Late Night (12am-Close),0.0K
December 04,Southern Ave,Late Night (12am-Close),0.0K
December 04,Smithsonian,Late Night (12am-Close),0.0K
December 04,Silver Spring,Late Night (12am-Close),0.0K
December 04,Shaw-Howard U,Late Night (12am-Close),0.0K
December 04,Shady Grove,Late Night (12am-Close),0.0K
December 04,Rosslyn,Late Night (12am-Close),0.0K
December 04,Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K
December 04,Rockville,Late Night (12am-Close),0.0K
December 04,Rhode Island Ave,Late Night (12am-Close),0.0K
December 04,Reston Town Center,Late Night (12am-Close),0.0K
December 04,Potomac Yard,Late Night (12am-Close),0.0K
December 04,Potomac Ave,Late Night (12am-Close),0.0K
December 04,Pentagon City,Late Night (12am-Close),0.0K
December 04,Pentagon,Late Night (12am-Close),0.0K
December 04,North Bethesda,Late Night (12am-Close),0.0K
December 04,NoMa-Gallaudet U,Late Night (12am-Close),0.0K
December 04,New Carrollton,Late Night (12am-Close),0.0K
December 04,Naylor Road,Late Night (12am-Close),0.0K
December 04,Navy Yard-Ballpark,Late Night (12am-Close),0.0K
December 04,Mt Vernon Sq,Late Night (12am-Close),0.0K
December 04,Morgan Boulevard,Late Night (12am-Close),0.0K
December 04,Morgan Boulevard,Evening (7pm-12am),0.0K
December 04,Minnesota Ave,Late Night (12am-Close),0.0K
December 04,Metro Center,Late Night (12am-Close),0.0K
December 04,Medical Center,Late Night (12am-Close),0.0K
December 04,McPherson Sq,Late Night (12am-Close),0.0K
December 04,McLean,Late Night (12am-Close),0.0K
December 04,Loudoun Gateway,Late Night (12am-Close),0.0K
December 04,Loudoun Gateway,Evening (7pm-12am),0.0K
December 04,Landover,Late Night (12am-Close),0.0K
December 04,Landover,Evening (7pm-12am),0.0K
December 04,King St-Old Town,Late Night (12am-Close),0.0K
December 04,Judiciary Square,Late Night (12am-Close),0.0K
December 04,Innovation Center,Late Night (12am-Close),0.0K
